word,value,hand
ampassy,14,aampssy
amperes,11,aeemprs
amphora,14,aahmopr
amplest,11,aelmpst
amplify,17,afilmpy
ampoule,11,aelmopu
ampules,11,aelmpsu
ampulla,11,aallmpu
amputee,11,aeemptu
amritas,9,aaimrst
amtmans,11,aammnst
amtrack,15,aackmrt
amulets,9,aelmstu
amusers,9,aemrssu
amusing,10,agimnsu
amusive,12,aeimsuv
amygdal,14,aadglmy
amylase,12,aaelmsy
amylene,12,aeelmny
amyloid,13,adilmoy
anadems,10,aademns
anaemia,9,aaaeimn
anaemic,11,aaceimn
anagoge,9,aaeggno
anagogy,12,aaggnoy
anagram,10,aaagmnr
analogs,8,aaglnos
analogy,11,aaglnoy
analyse,10,aaelnsy
analyst,10,aalnsty
analyze,19,aaelnyz
anapest,9,aaenpst
anarchs,12,aachnrs
anarchy,15,aachnry
anatase,7,aaaenst
anatomy,12,aamnoty
anattas,7,aaanstt
anattos,7,aanostt
anaxial,14,aaailnx
anchors,12,achnors
anchovy,18,achnovy
ancient,9,aceinnt
ancomes,11,acemnos
ancones,9,acennos
ancress,9,acenrss
andante,8,aadennt
andiron,8,adinnor
android,9,addinor
andvile,11,adeilnv
aneared,8,aadeenr
anelace,9,aaceeln
aneling,8,aegilnn
anemone,9,aeemnno
aneroid,8,adeinor
aneurin,7,aeinnru
angekok,16,aegkkno
angelic,10,acegiln
angelus,8,aeglnsu
angered,9,adeegnr
angerly,11,aeglnry
angicos,10,acginos
anginal,8,aagilnn
angioma,10,aagimno
anglers,8,aeglnrs
anglice,10,acegiln
anglify,14,afgilny
angling,9,aggilnn
anglist,8,agilnst
angoras,8,aagnors
angrier,8,aeginrr
angrily,11,agilnry
anguine,8,aeginnu
anguish,11,aghinsu
angular,8,aaglnru
anicuts,9,acinstu
anilest,7,aeilnst
aniline,7,aeiilnn
anility,10,aiilnty
animals,9,aailmns
animate,9,aaeimnt
animism,11,aiimmns
animist,9,aiimnst
anionic,9,aciinno
aniseed,8,adeeins
anklets,11,aeklnst
anklong,12,agklnno
ankuses,11,aeknssu
anlaces,9,aacelns
anlages,8,aaeglns
annates,7,aaennst
annatto,7,aannott
anneals,7,aaelnns
annelid,8,adeilnn
annexed,15,adeennx
annexes,14,aeennsx
annoyed,11,adennoy
annoyer,10,aennory
annuals,7,aalnnsu
annuity,10,ainntuy
annular,7,aalnnru
annulet,7,aelnntu
